Name,Age,Nationality,Overall,Club,ClubName,ClubTop20,WageK,PreferredFoot,Position
E. Flores,24,Peru,68,Monarcas Morelia,Others,No,4,Left,MidField
A. Zre?ák,24,Slovakia,68,1. FC Nürnberg,Others,No,9,Left,Forward
D. Ljubicic,20,Austria,68,SK Rapid Wien,Others,No,5,Right,MidField
M. Palmer,23,England,68,Rotherham United,Others,No,12,Right,MidField
Y. Leiva,20,Chile,68,Universidad de Chile,Others,No,4,Right,MidField
J. Swift,23,England,68,Reading,Others,No,12,Right,MidField
Carrillo,24,Spain,68,Cádiz CF,Others,No,4,Right,Forward
M. Niemeyer,22,Germany,68,1. FC Magdeburg,Others,No,6,Left,MidField
M. Chirinos,23,Honduras,68,Lobos BUAP,Others,No,3,Right,MidField
G. Evans,23,England,68,Derby County,Others,No,13,Right,MidField
M. Kanno,23,Saudi Arabia,68,Al Hilal,Others,No,12,Right,MidField
Kike Barja,21,Spain,68,CA Osasuna,Others,No,3,Right,MidField
André Vidigal,19,Portugal,68,Fortuna Sittard,Others,No,2,Left,Forward
Y. Merdji,24,France,68,AJ Auxerre,Others,No,3,Right,Forward
L. MacLeod,24,Scotland,68,Brentford,Others,No,14,Right,MidField
L. Lamprou,20,Greece,68,Fortuna Sittard,Others,No,3,Right,Forward
José Suárez,22,Spain,67,Girona FC,Others,No,6,Right,GoalKeeper
M. Kenlock,21,England,67,Ipswich Town,Others,No,3,Left,Defence
M. Thiam,23,Senegal,67,Barnsley,Others,No,4,Right,MidField
A. Lioi,21,Argentina,67,Rosario Central,Others,No,4,Right,MidField
S. Edera,21,Italy,67,Torino,Others,No,11,Left,Forward
J. Rasmussen,21,Denmark,67,Empoli,Others,No,3,Left,Defence
K. Kotsaris,21,Greece,67,Panathinaikos FC,Others,No,1,Right,GoalKeeper
F. Kamberi,23,Switzerland,67,Hibernian,Others,No,3,Right,Forward
N. Seufert,21,Germany,67,DSC Arminia Bielefeld,Others,No,4,Right,MidField
F. Beijmo,20,Sweden,67,SV Werder Bremen,Others,No,6,Right,Defence
J. Earl,19,England,67,Preston North End,Others,No,2,Left,Defence
G. Lódico,20,Argentina,67,Club Atlético Lanús,Others,No,5,Right,MidField
T. Vlietinck,20,Belgium,67,Club Brugge KV,Others,No,6,Right,MidField
S. Goss,22,Germany,67,Queens Park Rangers,Others,No,3,Left,MidField
A. Fletcher,22,England,67,Middlesbrough,Others,No,16,Right,Forward
D. Efremov,23,Russia,67,PFC CSKA Moscow,Others,No,1,Right,MidField
G. Moncini,22,Italy,67,SPAL,Others,No,5,Right,Forward
S. Ingelsson,20,Sweden,66,Udinese,Others,No,6,Left,MidField
D. Acosta,20,United States,66,Real Salt Lake,Others,No,2,Left,Defence
G. Kobel,20,Switzerland,66,TSG 1899 Hoffenheim,Others,No,4,Right,GoalKeeper
V. Solomon-Otabor,22,Nigeria,66,Birmingham City,Others,No,7,Right,MidField
R. Vodišek,19,Slovenia,66,Genoa,Others,No,1,Right,GoalKeeper
M. Pulkrab,21,Czech Republic,66,Sparta Praha,Others,No,1,Right,Forward
A. Trusty,19,United States,66,Philadelphia Union,Others,No,1,Left,Defence
J. Leko,19,England,66,West Bromwich Albion,Others,No,6,Right,Forward
A. Dobos,18,Hungary,65,Fortuna Sittard,Others,No,1,Left,MidField
A. Sambi Lokonga,18,Belgium,65,RSC Anderlecht,Others,No,2,Right,MidField
P. De la Vega,17,Argentina,65,Club Atlético Lanús,Others,No,3,Right,Forward
J. Serra,20,Germany,65,Holstein Kiel,Others,No,3,Left,Forward
João Moutinho,20,Portugal,65,Los Angeles FC,Others,No,2,Right,Defence
Jorge Cuenca,18,Spain,65,FC Barcelona,02FCBarcelona,Yes,11,Left,Defence
D. Szoboszlai,17,Hungary,65,FC Red Bull Salzburg,Others,No,4,Right,MidField
D. Batty,20,England,64,Hull City,Others,No,4,Right,MidField
L. Diaby Fadiga,17,France,64,OGC Nice,Others,No,4,Left,Forward
Sergio López,19,Spain,64,Real Madrid,01RealMadrid,Yes,9,Right,Defence
L. Mai,18,Germany,64,FC Bayern München,04BayernMunich,Yes,5,Right,Defence
S. Reyes,20,Mexico,64,Monarcas Morelia,Others,No,2,Left,Forward
D. McNeil,18,England,64,Burnley,Others,No,5,Left,MidField
T. Pearce,20,England,64,Leeds United,Others,No,6,Left,Defence
T. Oakley-Boothe,18,England,64,Tottenham Hotspur,09TottenhamHotspur,Yes,7,Right,MidField
C. Timite,20,Ivory Coast,64,Amiens SC,Others,No,3,Right,Forward
Montero,19,Spain,64,Atlético Madrid,12AtleticoMadrid,Yes,4,Left,Defence
Kikas,19,Portugal,64,Os Belenenses,Others,No,1,Right,Forward
J. Beausejour,34,Chile,74,Universidad de Chile,Others,No,11,Left,Defence
Juliano Mascarinhas,34,Brazil,73,Grêmio,Others,No,21,Right,MidField
Benjamin Meseira,34,Brazil,73,Chapecoense,Others,No,13,Right,Defence
Oswaldito Cuba,34,Brazil,73,Chapecoense,Others,No,13,Left,Defence
Mauro Cildinho,34,Brazil,73,Sport Club do Recife,Others,No,13,Right,Defence
Angulo,34,Spain,72,Górnik Zabrze,Others,No,6,Left,Forward
M. Higashiguchi,32,Japan,72,Gamba Osaka,Others,No,7,Right,GoalKeeper
A. Luci,33,Italy,71,Livorno,Others,No,3,Right,MidField
Souza,30,Brazil,71,Cerezo Osaka,Others,No,6,Right,MidField
D. Fletcher,34,Scotland,71,Stoke City,Others,No,26,Right,MidField
U. Bulut,35,Turkey,71,Kayserispor,Others,No,8,Right,Forward
A. Uchida,30,Japan,71,Kashima Antlers,Others,No,8,Right,Defence
H. Henao,31,Colombia,71,Alianza Petrolera,Others,No,2,Right,MidField
J. Perbet,33,France,71,Sporting de Charleroi,Others,No,11,Right,Forward
G. Peñalba,33,Argentina,71,UD Las Palmas,Others,No,8,Right,MidField
M. Spiranovic,30,Australia,71,Perth Glory,Others,No,5,Right,Defence
Dani Hernández,32,Venezuela,71,CD Tenerife,Others,No,5,Right,GoalKeeper
F. Boeckx,31,Belgium,71,RSC Anderlecht,Others,No,10,Right,GoalKeeper
Oier,32,Spain,71,CA Osasuna,Others,No,7,Right,MidField
Zapater,33,Spain,71,Real Zaragoza,Others,No,7,Right,MidField
J. Cabezas,27,Colombia,70,Houston Dynamo,Others,No,5,Right,MidField
S. Lundevall,29,Sweden,70,IF Elfsborg,Others,No,4,Right,MidField
Kim Bo Kyung,28,Korea Republic,70,Kashiwa Reysol,Others,No,7,Left,MidField
Jairo Farnias,30,Brazil,70,Internacional,Others,No,11,Left,GoalKeeper
N. Leyes,28,Argentina,70,Atlético Tucumán,Others,No,7,Right,MidField
D. Opare,27,Ghana,70,Royal Antwerp FC,Others,No,7,Right,Defence
K. Hmlinen,31,Finland,70,Legia Warszawa,Others,No,6,Right,MidField
U. Uçar,31,Turkey,70,Medipol Ba?ak?ehir FK,Others,No,12,Right,Defence
K. Steppe,29,Belgium,70,Sint-Truidense VV,Others,No,6,Right,GoalKeeper
N. Gorosito,29,Argentina,70,Albacete BP,Others,No,5,Right,Defence
F. De Paul,27,Chile,70,Universidad de Chile,Others,No,5,Right,GoalKeeper
K. Barbarouses,28,New Zealand,70,Melbourne Victory,Others,No,7,Right,Forward
V. Mannone,30,Italy,70,Reading,Others,No,14,Right,GoalKeeper
J. Cuffaut,30,France,70,Valenciennes FC,Others,No,4,Right,Defence
J. Domínguez,30,Mexico,70,Cruz Azul,Others,No,13,Right,Defence
D. Cerén,28,El Salvador,70,Houston Dynamo,Others,No,5,Right,MidField
Daniel Amora,30,Brazil,70,Al Raed,Others,No,11,Right,MidField
A. Mazzotta,28,Italy,70,Palermo,Others,No,3,Left,Defence
J. Troisi,29,Australia,70,Melbourne Victory,Others,No,6,Left,MidField
Jeong Woon,29,Korea Republic,70,Jeju United FC,Others,No,4,Left,MidField
Alberto Martín,29,Spain,70,Granada CF,Others,No,6,Right,MidField
S. Birnbaum,27,United States,70,DC United,Others,No,5,Right,Defence
Hugo Vieira,29,Portugal,70,Yokohama F. Marinos,Others,No,5,Right,Forward
B. Halimi,23,Kosovo,69,Brøndby IF,Others,No,11,Left,MidField
D. Ward,27,England,69,Cardiff City,Others,No,22,Left,Forward
F. Álvarez,25,Argentina,69,Atlético Tucumán,Others,No,6,Right,MidField
R. Leipertz,25,Germany,69,FC Ingolstadt 04,Others,No,12,Left,MidField
J. Quintero,23,Colombia,69,Deportivo Cali,Others,No,1,Right,Defence
A. Trajkovski,25,FYR Macedonia,69,Palermo,Others,No,3,Right,Forward
Wu Xi,29,China PR,69,Jiangsu Suning FC,Others,No,10,Right,MidField
M. Gersbeck,23,Germany,69,Hertha BSC,Others,No,8,Left,GoalKeeper
U. Çiftçi,26,Turkey,69,Sivasspor,Others,No,7,Left,Defence
G. Maluleka,29,South Africa,69,Kaizer Chiefs,Others,No,1,Right,MidField
Y. Toyokawa,23,Japan,69,KAS Eupen,Others,No,6,Right,Forward
A. Ndour,24,Senegal,69,RC Strasbourg Alsace,Others,No,7,Left,Defence
R. Ibarra,23,Ecuador,69,Minnesota United FC,Others,No,4,Right,MidField
P. Rodríguez,28,Argentina,69,Moreirense FC,Others,No,4,Right,Forward
O. Darfalou,24,Algeria,69,Vitesse,Others,No,7,Right,Forward
M. Pittón,23,Argentina,69,Unión de Santa Fe,Others,No,6,Right,MidField
Luís Martins,26,Portugal,69,GD Chaves,Others,No,5,Left,Defence
C. Charisis,23,Greece,69,KV Kortrijk,Others,No,6,Right,MidField
B. Montenegro,25,Paraguay,69,Club Atlético Talleres,Others,No,9,Left,Forward
G. Madine,27,England,69,Cardiff City,Others,No,22,Right,Forward
J. Pérez,27,Colombia,69,Pachuca,Others,No,15,Right,Forward
Zhang Chengdong,29,China PR,69,Hebei China Fortune FC,Others,No,8,Right,MidField
Caro,25,Spain,69,Albacete BP,Others,No,4,Right,Defence
M. Wallace,25,Scotland,69,Millwall,Others,No,6,Left,Defence
Rômulão Selva,26,Brazil,69,Botafogo,Others,No,11,Right,Forward
D. Rubio,25,Chile,69,Sporting Kansas City,Others,No,4,Right,Forward
S. Hedlund,25,Sweden,69,1. FC Union Berlin,Others,No,15,Right,Forward
Fredy,28,Angola,69,Os Belenenses,Others,No,4,Right,Forward
Z. Y?ld?r?m,27,Turkey,69,Antalyaspor,Others,No,8,Right,MidField
Omar Perdomo,24,Spain,69,Gimnàstic de Tarragona,Others,No,4,Right,MidField
S. Çiftp?nar,25,Turkey,69,Yeni Malatyaspor,Others,No,6,Right,Defence
D. Diamantakos,25,Greece,69,FC St. Pauli,Others,No,9,Left,Forward
Hélder Tavares,28,Cape Verde,69,CD Tondela,Others,No,3,Right,MidField
J. Fuentes,23,Chile,69,CD O'Higgins,Others,No,3,Right,Defence
H. Duljevi?,24,Bosnia Herzegovina,69,SG Dynamo Dresden,Others,No,9,Right,Forward
L. Melano,25,Argentina,69,Portland Timbers,Others,No,4,Right,Forward
L. Damour,27,France,69,Cardiff City,Others,No,19,Right,MidField
M. Fossati,25,Italy,69,Hellas Verona,Others,No,3,Right,MidField
H. Fertoli,23,Argentina,69,Newell's Old Boys,Others,No,8,Right,MidField
Brian Oliván,24,Spain,69,Cádiz CF,Others,No,4,Left,Defence
Arsénio,28,Portugal,69,Moreirense FC,Others,No,4,Right,Forward
Diego Caballo,24,Spain,69,Deportivo de La Coruña,Others,No,4,Left,Defence
D. Bisoli,24,Italy,69,Brescia,Others,No,2,Right,MidField
R. Zentner,23,Germany,69,1. FSV Mainz 05,Others,No,8,Right,GoalKeeper
Muralha,25,Brazil,69,Al Hazem,Others,No,6,Right,MidField
S. Kingsley,23,Scotland,68,Hull City,Others,No,9,Left,Defence
Kaio Pantaleão,22,Brazil,68,Santa Clara,Others,No,2,Right,MidField
E. Berko,23,Germany,68,SG Dynamo Dresden,Others,No,8,Right,MidField
E. Fernández,23,France,68,CF Rayo Majadahonda,Others,No,3,Right,MidField
S. Nicholson,23,Scotland,68,Colorado Rapids,Others,No,3,Left,MidField
Y. Eteki,20,Cameroon,68,UD Almería,Others,No,3,Right,MidField
J. Lundstram,24,England,68,Sheffield United,Others,No,5,Right,MidField
K. Redondo,23,Germany,68,1. FC Union Berlin,Others,No,12,Left,Forward
R. Tunnicliffe,25,England,68,Millwall,Others,No,6,Right,MidField
K. Escamilla,24,Mexico,68,U.N.A.M.,Others,No,7,Right,MidField
J. Castelletto,23,Cameroon,68,Stade Brestois 29,Others,No,3,Right,Defence
Iván Villar,20,Spain,68,RC Celta,Others,No,4,Right,GoalKeeper
S. Amallah,21,Belgium,68,Royal Excel Mouscron,Others,No,4,Right,MidField
R. Peña,21,Venezuela,68,Houston Dynamo,Others,No,3,Right,Forward
Joaquín,22,Spain,68,Real Valladolid CF,Others,No,6,Right,Defence
J. Yueill,21,United States,68,San Jose Earthquakes,Others,No,3,Right,MidField
D. Watmore,24,England,68,Sunderland,Others,No,5,Right,MidField
J. van Aken,24,Netherlands,68,Sheffield Wednesday,Others,No,9,Left,Defence
J. Green,23,United States,68,SpVgg Greuther Fürth,Others,No,4,Right,MidField
B. Peacock-Farrell,21,Northern Ireland,68,Leeds United,Others,No,8,Left,GoalKeeper
G. Moncur,24,England,68,Barnsley,Others,No,5,Right,MidField
N. Dicko,26,Mali,68,Hull City,Others,No,12,Right,Forward
Javi Jiménez,22,Spain,68,Gimnàstic de Tarragona,Others,No,3,Left,MidField
O. Duarte,22,Colombia,68,Atlético Nacional,Others,No,2,Left,Forward
S. Kaikai,22,England,67,Crystal Palace,Others,No,14,Right,MidField
Dani Ojeda,23,Spain,67,CD Leganés,Others,No,8,Right,MidField
A. Mowatt,23,England,67,Barnsley,Others,No,4,Left,MidField
D. Milinkovi?,24,France,67,Hull City,Others,No,8,Right,MidField
João Carlos,23,Brazil,67,Portimonense SC,Others,No,3,Right,Forward
F. Miguel,21,France,67,Nîmes Olympique,Others,No,4,Left,Defence
G. Masouras,21,Greece,67,Olympiacos CFP,Others,No,1,Right,Defence
B. V?t?jelu,25,Romania,67,Sparta Praha,Others,No,1,Left,MidField
A. El Kaabi,25,Morocco,67,Hebei China Fortune FC,Others,No,6,Left,Forward
Fernando Andrade,25,Brazil,67,Santa Clara,Others,No,2,Right,Forward
D. Prokop,21,Austria,67,FK Austria Wien,Others,No,5,Right,MidField
Pipa,20,Spain,67,RCD Espanyol,Others,No,6,Right,Defence
J. Rodon,20,Wales,67,Swansea City,Others,No,6,Right,Defence
M. Grimes,22,England,67,Swansea City,Others,No,8,Left,Defence
G. Kamara,22,Finland,67,Dundee FC,Others,No,3,Right,MidField
T. Fosu,22,England,67,Charlton Athletic,Others,No,4,Right,MidField
H. Elhouni,24,Libya,67,CD Aves,Others,No,4,Right,Forward
P. Lienhart,21,Austria,67,SC Freiburg,Others,No,5,Right,Defence
Rodri Tarín,21,Spain,67,CD Leganés,Others,No,6,Right,Defence
R. Sandoval,23,Peru,67,Monarcas Morelia,Others,No,4,Right,Forward
R. Henry,20,England,67,Brentford,Others,No,9,Left,Defence
P. Kammerbauer,21,Germany,67,SC Freiburg,Others,No,5,Right,MidField
M. Gómez,19,Argentina,67,Gimnasia y Esgrima La Plata,Others,No,3,Right,MidField
Arturo Molina,22,Spain,66,Levante UD,Others,No,6,Right,MidField
I. Lapshov,19,Russia,66,Lokomotiv Moscow,Others,No,1,Right,Defence
L. Morgan,21,Scotland,66,Celtic,Others,No,10,Right,MidField
A. Acosta,21,Mexico,66,U.N.A.M.,Others,No,5,Right,MidField
J. Bellegarde,20,France,65,Racing Club de Lens,Others,No,2,Right,MidField
A. Kampetsis,19,Greece,65,Panathinaikos FC,Others,No,1,Right,Forward
O. Richards,19,England,64,Reading,Others,No,3,Left,Defence
Fran García,18,Spain,64,Real Madrid,01RealMadrid,Yes,9,Left,Defence
C. Dagba,19,France,64,Paris Saint-Germain,11ParisSaintGernain,Yes,5,Right,Defence
R. Williams,19,England,64,Manchester United,03ManchesterUnited,Yes,8,Right,Defence
J. Todibo,18,France,64,Toulouse Football Club,Others,No,2,Right,Defence
Edu Frias,19,Spain,64,RCD Espanyol,Others,No,1,Right,GoalKeeper
H. Traorè,18,Ivory Coast,64,Empoli,Others,No,2,Right,MidField
Borja Llarena,19,Spain,64,CD Tenerife,Others,No,1,Right,Forward
D. Yearwood,18,England,64,Southend United,Others,No,1,Right,MidField
Gonçalo Cardoso,17,Portugal,64,Boavista FC,Others,No,1,Left,Defence
Jesús Areso,18,Spain,64,Athletic Club de Bilbao,Others,No,2,Right,Defence
Beto,36,Portugal,76,Göztepe SK,Others,No,12,Right,GoalKeeper
Seoane,35,Spain,74,CD Lugo,Others,No,6,Right,MidField
J. Basanta,34,Argentina,73,Monterrey,Others,No,31,Left,Defence
L. Jiménez,34,Chile,72,CD Palestino,Others,No,4,Right,Forward
P. Crouch,37,England,72,Stoke City,Others,No,25,Right,Forward
J. Carrizo,34,Argentina,72,Monterrey,Others,No,22,Right,GoalKeeper
T. Makino,31,Japan,71,Urawa Red Diamonds,Others,No,8,Right,Defence
P. Armero,31,Colombia,71,América de Cali,Others,No,2,Left,Defence
S. Dubarbier,32,Argentina,71,Deportivo de La Coruña,Others,No,7,Left,Defence
Carlos Martínez,32,Spain,71,Real Oviedo,Others,No,7,Right,Defence
De las Cuevas,32,Spain,70,Córdoba CF,Others,No,6,Right,MidField
K. Leerdam,28,Suriname,70,Seattle Sounders FC,Others,No,5,Right,Defence
E. Seka,31,Guinea,70,AS Nancy Lorraine,Others,No,4,Right,Defence
Y. Kashiwagi,30,Japan,70,Urawa Red Diamonds,Others,No,7,Left,MidField
M. Danielson,29,Sweden,70,Djurgårdens IF,Others,No,4,Right,Defence
Montoro,30,Spain,70,Granada CF,Others,No,5,Right,MidField
Lee Seung Gi,30,Korea Republic,70,Jeonbuk Hyundai Motors,Others,No,7,Right,MidField
A. Weber,31,France,70,Stade Brestois 29,Others,No,4,Right,Defence
A. Saldívar,28,Mexico,70,U.N.A.M.,Others,No,9,Right,GoalKeeper
Javi Márquez,32,Spain,70,Gimnàstic de Tarragona,Others,No,6,Left,MidField
X. Kouassi,28,Ivory Coast,70,FC Sion,Others,No,16,Right,MidField
J. Toledo,32,Argentina,70,Atlético Tucumán,Others,No,8,Left,Forward
R. Jenssen,30,Norway,70,SK Brann,Others,No,4,Left,MidField
Javi Lara,32,Spain,70,Córdoba CF,Others,No,6,Right,MidField
M. Correia,29,Portugal,70, SSV Jahn Regensburg,Others,No,7,Right,Defence
S. Bassong,31,Cameroon,70,Peterborough United,Others,No,7,Left,Defence
J. Flum,30,Germany,70,FC St. Pauli,Others,No,10,Right,MidField
Alex López,30,Spain,70,Brisbane Roar,Others,No,4,Right,MidField
Errasti,30,Spain,70,AD Alcorcón,Others,No,6,Right,MidField
M. Albæk,28,Denmark,70,1. FC Kaiserslautern,Others,No,4,Left,MidField
M. Silva,29,Uruguay,70,Real Salt Lake,Others,No,5,Right,Defence
A. Salvi,30,Italy,70,Palermo,Others,No,3,Right,Defence
C. Nhamoinesu,32,Zimbabwe,70,Sparta Praha,Others,No,1,Left,Defence
Nuno André Coelho,32,Portugal,70,GD Chaves,Others,No,6,Right,Defence
C. Guzmán,24,Mexico,69,Monarcas Morelia,Others,No,4,Right,Defence
Álvaro Peña,26,Spain,69,AD Alcorcón,Others,No,5,Right,MidField
V. F?nd?kl?,27,Turkey,69,Atiker Konyaspor,Others,No,8,Right,MidField
M. Murillo,24,Colombia,69,Deportivo Cali,Others,No,2,Right,Forward
P. Filipovi?,27,Germany,69,Atiker Konyaspor,Others,No,8,Left,Defence
J. Gyau,25,United States,69,MSV Duisburg,Others,No,4,Left,MidField
S. Mosquera,24,Colombia,69,Deportes Tolima,Others,No,2,Right,Defence
I. Pettersson,21,Sweden,69,IFK Norrköping,Others,No,2,Left,GoalKeeper
S. Dursun,26,Germany,69,SV Darmstadt 98,Others,No,11,Right,Forward
Núrio,23,Angola,69,Sporting de Charleroi,Others,No,6,Left,Defence
M. Jacobs,26,England,69,Wigan Athletic,Others,No,24,Right,MidField
S. Dallas,27,Northern Ireland,69,Leeds United,Others,No,19,Right,MidField
Marco Sangalli,26,Spain,69,AD Alcorcón,Others,No,5,Right,MidField
N. Byrne,26,England,69,Wigan Athletic,Others,No,22,Right,MidField
A. Mühling,25,Germany,69,Holstein Kiel,Others,No,6,Right,MidField
M. Watkins,27,Wales,69,Bristol City,Others,No,19,Right,MidField
S. Morsy,26,Egypt,69,Wigan Athletic,Others,No,22,Right,MidField
J. Bidwell,25,England,69,Queens Park Rangers,Others,No,5,Left,Defence
Sandro Maceira,26,Brazil,69,Atlético Paranaense,Others,No,7,Right,MidField
J. Lowe,26,England,69,Bolton Wanderers,Others,No,5,Right,MidField
Arthur Caike,26,Brazil,69,Al Shabab,Others,No,15,Right,MidField
Pablo Valcarce,25,Spain,69,RCD Mallorca,Others,No,5,Left,MidField
Antonaldo Laforte,26,Brazil,69,Fluminense,Others,No,13,Right,MidField
A. Ajagun,25,Nigeria,69,KV Kortrijk,Others,No,7,Right,MidField
C. McManaman,27,England,69,Wigan Athletic,Others,No,24,Right,MidField
K. Bua,24,Switzerland,69,FC Basel 1893,Others,No,11,Right,MidField
D. Moberg Karlsson,24,Sweden,69,IFK Norrköping,Others,No,4,Left,Forward
Renato Rochela,26,Brazil,69,Atlético Mineiro,Others,No,15,Left,MidField
E. Torregrossa,26,Italy,69,Brescia,Others,No,3,Left,Forward
Z. Yavru,26,Turkey,69,Trabzonspor,Others,No,13,Right,Defence
L. Abubakar,23,Ghana,69,Columbus Crew SC,Others,No,3,Right,Defence
A. Montero,23,Colombia,69,Deportes Tolima,Others,No,1,Right,GoalKeeper
J. Silva,23,Mexico,69,Cruz Azul,Others,No,9,Right,Defence
T. Weilandt,26,Germany,69,VfL Bochum 1848,Others,No,9,Right,MidField
F. Gulbrandsen,25,Norway,69,FC Red Bull Salzburg,Others,No,17,Right,Forward
J. Rassoul,22,Senegal,69,Sporting Lokeren,Others,No,6,Right,Defence
M. Etame,29,Cameroon,69,Alanyaspor,Others,No,8,Right,MidField
J. Medranda,24,Colombia,69,Sporting Kansas City,Others,No,3,Left,Defence
S. Rossbach,22,Norway,69,Odds BK,Others,No,2,Right,GoalKeeper
M. Diemers,24,Netherlands,69,Fortuna Sittard,Others,No,4,Right,MidField
M. Martínez,25,Argentina,69,Racing Club,Others,No,8,Right,Defence
M. Thiel,25,Germany,69,1. FC Heidenheim 1846,Others,No,7,Left,MidField
Minhoca,30,Portugal,69,Santa Clara,Others,No,4,Right,Forward
K. Zachariassen,23,Norway,69,Sarpsborg 08 FF,Others,No,2,Right,MidField
A. Vuletich,26,Argentina,69,US Salernitana 1919,Others,No,3,Right,Forward
D. Lemos,23,Colombia,68,Once Caldas,Others,No,2,Right,Forward
J. Nolan,26,England,68,Ipswich Town,Others,No,5,Right,MidField
R. Gall,23,United States,68,Malmö FF,Others,No,3,Right,MidField
K. Moore,25,England,68,Barnsley,Others,No,6,Right,Forward
L. Paganini,25,Italy,68,Frosinone,Others,No,7,Right,MidField
T. Teuma,24,France,68,Red Star FC,Others,No,3,Left,MidField
Kevin,25,Spain,68,RC Celta,Others,No,8,Right,Defence
Nuno Campos,25,Portugal,68,CD Nacional,Others,No,4,Right,Defence
T. Schwede,24,Germany,68,SC Paderborn 07,Others,No,5,Left,MidField
D. Kinsombi,22,Germany,68,Holstein Kiel,Others,No,5,Right,MidField
Delmás,23,Spain,68,Real Zaragoza,Others,No,4,Right,Defence
T. Lockyer,23,Wales,68,Bristol Rovers,Others,No,4,Right,Defence
P. van Amersfoort,22,Netherlands,68,SC Heerenveen,Others,No,4,Right,MidField
K. Pierie,17,Netherlands,68,SC Heerenveen,Others,No,2,Left,Defence
F. Friday,23,Nigeria,68,AZ Alkmaar,Others,No,6,Right,Forward
D. Crowley,20,England,68,Willem II,Others,No,3,Right,MidField
E. Segura,21,Colombia,68,Atlético Huila,Others,No,1,Right,Defence
K. Mahlasela,27,South Africa,68,Kaizer Chiefs,Others,No,1,Right,MidField
N. Moumi Ngamaleu,23,Cameroon,68,BSC Young Boys,Others,No,8,Right,MidField
M. Diagne,24,Senegal,68,AS Nancy Lorraine,Others,No,3,Right,Defence
Nuno Tomás,22,Portugal,68,Os Belenenses,Others,No,3,Left,Defence
L. Bertone,24,Switzerland,68,BSC Young Boys,Others,No,8,Right,MidField
M. Turay,23,Sierra Leone,68,Sint-Truidense VV,Others,No,5,Right,Forward
T. Lorch,24,South Africa,67,Orlando Pirates,Others,No,1,Right,Forward
N. Aguerd,22,Morocco,67,Dijon FCO,Others,No,4,Left,Defence
A. Stephens,23,Panama,67,Santa Clara,Others,No,2,Right,Forward
B. Koïta,24,Niger,67,Amiens SC,Others,No,6,Right,Forward
E. Grezda,23,Albania,67,Rangers FC,Others,No,15,Right,Forward
B. Borrello,22,Australia,67,SC Freiburg,Others,No,7,Right,MidField
F. Ayé,21,France,67,Clermont Foot 63,Others,No,2,Right,Forward
J. Duverne,20,France,67,Racing Club de Lens,Others,No,3,Right,Defence
J. Piotrowski,20,Poland,67,KRC Genk,Others,No,4,Right,MidField
L. Lindsay,22,Scotland,67,Barnsley,Others,No,4,Left,Defence
Luís Cortez,24,Portugal,67,Vitória de Setúbal,Others,No,2,Right,MidField
Alan Schons,25,Brazil,67,Moreirense FC,Others,No,2,Right,MidField
R. Rubin,22,United States,67,Club Tijuana,Others,No,7,Right,Forward
O. Andrievskyi,24,Ukraine,67,Dynamo Kyiv,Others,No,1,Left,MidField
M. Prévot,21,France,67,FC Sochaux-Montbéliard,Others,No,1,Right,GoalKeeper
Néstor Albiach,25,Spain,67,Sparta Praha,Others,No,1,Left,MidField
A. Gilbey,23,England,67,Milton Keynes Dons,Others,No,5,Right,MidField
K. Staude,21,Germany,67,DSC Arminia Bielefeld,Others,No,4,Right,MidField
E. K?l?nç,23,Turkey,67,Sivasspor,Others,No,5,Left,MidField
M. Pennington,23,England,67,Ipswich Town,Others,No,3,Right,Defence
J. Vargas,20,Chile,67,Montreal Impact,Others,No,3,Right,Forward
J. Forster-Caskey,24,England,67,Charlton Athletic,Others,No,4,Left,MidField
Theo Ryuki,22,Japan,66,Portimonense SC,Others,No,3,Right,MidField
F. El Mellali,21,Algeria,66,Angers SCO,Others,No,6,Right,Forward
D. Barinov,21,Russia,66,Lokomotiv Moscow,Others,No,1,Left,MidField
R. Nyambe,20,Namibia,66,Blackburn Rovers,Others,No,8,Right,Defence
H. Alpsoy,21,Turkey,66,Antalyaspor,Others,No,4,Right,MidField
J. Aribo,21,England,66,Charlton Athletic,Others,No,3,Left,MidField
Gabriel,20,Brazil,66,LOSC Lille,Others,No,6,Left,Defence
A. Maisonnial,20,France,66,FC Sion,Others,No,4,Right,GoalKeeper
W. Ponce,20,Chile,65,CD Universidad de Concepción,Others,No,1,Right,Forward
N. Guerra,19,Chile,65,Universidad de Chile,Others,No,2,Right,Forward
A. Skov Olsen,18,Denmark,65,FC Nordsjælland,Others,No,2,Left,Forward
C. Romero,20,Argentina,64,Genoa,Others,No,2,Right,Defence
F. Woodman,21,England,64,Newcastle United,20NewCastleUnited,Yes,5,Right,GoalKeeper
I. Abass,19,Ghana,64,1. FSV Mainz 05,Others,No,3,Right,Forward
T. Al Ammar,18,Saudi Arabia,64,Al Shabab,Others,No,3,Right,MidField
T. Sandoval,19,Argentina,64,Club Atlético Colón,Others,No,2,Right,Forward
H. Cochrane,17,Scotland,64,Heart of Midlothian,Others,No,1,Right,MidField
H. Bwana,19,Kenya,64,Seattle Sounders FC,Others,No,1,Right,MidField
Dani Gómez,19,Spain,63,Real Madrid,01RealMadrid,Yes,12,Right,Forward
D. Sinik,19,Turkey,63,Antalyaspor,Others,No,2,Left,MidField
